업체,채널,상태,1차연락일,후속연락일,답변,다음행동
IDEAL STUDIO,Instagram,미발송,,,,최신 영업·홈페이지 확인
성수지앵,당근,미발송,,,,최신 영업·홈페이지 확인
네일은,Instagram,미발송,,,,최신 영업·홈페이지 확인
바다별 자수 스튜디오,Instagram,미발송,,,,최신 영업·홈페이지 확인
다온네일&왁싱,Instagram,미발송,,,,최신 영업·홈페이지 확인
스윗온네일,Instagram,미발송,,,,최신 영업·홈페이지 확인
지나공방,Instagram,미발송,,,,최신 영업·홈페이지 확인
도도필라테스,Instagram,미발송,,,,최신 영업·홈페이지 확인
팀 터틀랫 상인점,Naver Blog,미발송,,,,최신 영업·홈페이지 확인
살롱드다한,당근,미발송,,,,최신 영업·홈페이지 확인
영롱쌀롱,Instagram,미발송,,,,최신 영업·홈페이지 확인
갤러리카페 마레지구,Instagram,미발송,,,,최신 영업·홈페이지 확인
더하다 네일,Instagram,미발송,,,,최신 영업·홈페이지 확인
리본네일,Instagram,미발송,,,,최신 영업·홈페이지 확인
엘리하우스,Instagram,미발송,,,,최신 영업·홈페이지 확인
내포리 그래픽,Instagram,미발송,,,,최신 영업·홈페이지 확인
스튜디오 호웰,당근,미발송,,,,최신 영업·홈페이지 확인
NAIL REVE,Instagram,미발송,,,,최신 영업·홈페이지 확인
데이지메이크업,Instagram,미발송,,,,최신 영업·홈페이지 확인
댕파민,Instagram,미발송,,,,최신 영업·홈페이지 확인
